"word","p1","p1_estimate","p2","p2_estimate","p3","p3_estimate"
"the","to",0.0167319,"a",0.01424016,"same",0.012417628
"to","the",0.082525646,"be",0.061301733,"a",0.026282278
"and","the",0.054855967,"i",0.024814815,"a",0.020699588
"a","the",0.0253819,"lot",0.021737323,"few",0.018412303
"of","the",0.221925403,"a",0.036441532,"my",0.019808468
"in","the",0.249716446,"a",0.06005041,"my",0.020352867
"i","was",0.053660089,"have",0.052387015,"am",0.049204328
"is","a",0.082864675,"the",0.068804921,"not",0.043321617
"that","the",0.061420863,"i",0.050629496,"is",0.038039568
"for","the",0.176098901,"a",0.091849817,"me",0.027747253
"you","can",0.040869565,"are",0.040869565,"have",0.040869565
"it","is",0.105021368,"was",0.099679487,"to",0.025961538
"on","the",0.242002301,"a",0.067088608,"your",0.02566168
"with","the",0.147346939,"a",0.10244898,"my",0.019455782
"was","a",0.092946708,"the",0.045924765,"in",0.016144201
"at","the",0.246755408,"a",0.052079867,"least",0.04875208
"this","is",0.11598579,"year",0.041385435,"week",0.030728242
"are","you",0.079661017,"not",0.032580038,"the",0.032580038
"be","a",0.080265655,"the",0.046110057,"in",0.029032258
"have","to",0.13957529,"a",0.114478764,"been",0.085521236
"he","was",0.127833002,"said",0.076143141,"is",0.070178926
"but","i",0.082931727,"the",0.062851406,"it",0.034738956
"my","the",0.02530202,"life",0.016700201,"first",0.016700201
"as","a",0.142886179,"the",0.102235772,"well",0.049390244
"not","to",0.062197802,"a",0.049010989,"only",0.042417582
"we","are",0.095584989,"have",0.084547461,"can",0.053642384
"from","the",0.203807107,"a",0.051522843,"my",0.02106599
"so","i",0.080878553,"much",0.080878553,"many",0.044702842
"about","the",0.18034188,"it",0.074928775,"a",0.037891738
"your","day",0.021098266,"life",0.021098266,"to",0.01630026
"they","are",0.097941176,"were",0.065588235,"will",0.047941176
"all","the",0.127352941,"of",0.080294118,"day",0.033235294
"me","i",0.039465875,"and",0.039465875,"to",0.033531157
"said","the",0.067987805,"he",0.064939024,"i",0.052743902
"his","own",0.038080495,"the",0.02751836,"to",0.01602026
"will","be",0.261949686,"have",0.029245283,"make",0.026100629
"what","i",0.089802632,"you",0.056907895,"is",0.053618421
"up","to",0.103986711,"and",0.060797342,"in",0.060797342
"or","not",0.035034014,"a",0.028231293,"the",0.021428571
"just","a",0.045862069,"the",0.032068966,"to",0.018275862
"by","the",0.204482759,"a",0.066551724,"an",0.014827586
"an","the",0.02797897,"hour",0.0183391,"to",0.01628841
"out","of",0.213829787,"to",0.082624113,"the",0.054255319
"if","you",0.315357143,"i",0.068928571,"the",0.058214286
"when","i",0.126568266,"you",0.104428044,"he",0.074907749
"one","of",0.256666667,"day",0.034444444,"is",0.027037037
"who","are",0.070930233,"is",0.055426357,"has",0.051550388
"more","than",0.164541833,"about",0.029083665,"likely",0.017131474
"like","a",0.119591837,"to",0.086938776,"the",0.06244898
"has","been",0.160408163,"a",0.07877551,"to",0.029795918
"do","you",0.128806584,"not",0.058847737,"i",0.046502058
"she","said",0.088646288,"was",0.084279476,"is",0.058078603
"there","are",0.168722467,"is",0.159911894,"was",0.085022026
"had","a",0.12079646,"to",0.072123894,"the",0.063274336
"can","be",0.076888889,"you",0.045777778,"i",0.032444444
"her","and",0.038425926,"to",0.024537037,"family",0.015277778
"time","to",0.119339623,"the",0.053301887,"i",0.043867925
"some","of",0.142924528,"people",0.029716981,"time",0.020283019
"their","own",0.065196078,"the",0.02914129,"to",0.01696508
"get","a",0.10049505,"it",0.060891089,"back",0.031188119
"no","one",0.056218905,"longer",0.036318408,"matter",0.036318408
"were","the",0.031818182,"in",0.026767677,"not",0.021717172
"its","a",0.087373737,"not",0.057070707,"to",0.01732198
"good","luck",0.047938144,"morning",0.042783505,"day",0.042783505
"day","in",0.038020833,"to",0.038020833,"i",0.0328125
"it's","a",0.18,"not",0.120540541,"the",0.034054054
"new","york",0.083152174,"jersey",0.028804348,"job",0.017934783
"them","to",0.084065934,"and",0.062087912,"in",0.056593407
"our","the",0.02965673,"new",0.023626374,"own",0.018131868
"would","be",0.192696629,"have",0.108426966,"like",0.057865169
"people","who",0.087428571,"are",0.047428571,"in",0.041714286
"i'm","not",0.098787879,"going",0.038181818,"in",0.038181818
"how","to",0.126086957,"do",0.057763975,"much",0.057763975
"now","i",0.070186335,"and",0.039130435,"the",0.039130435
"been","a",0.057763975,"in",0.032919255,"to",0.026708075
"only","a",0.041721854,"to",0.035099338,"no",0.035099338
"into","the",0.240397351,"a",0.134437086,"my",0.028476821
"which","is",0.102684564,"was",0.048993289,"i",0.042281879
"than","the",0.103378378,"a",0.062837838,"in",0.022297297
"love","you",0.097945205,"to",0.070547945,"it",0.05
"last","year",0.208965517,"week",0.09862069,"night",0.09862069
"also","a",0.050344828,"be",0.029655172,"and",0.01603494
"know","what",0.148951049,"if",0.079020979,"that",0.072027972
"think","i",0.116428571,"of",0.073571429,"about",0.066428571
"then","i",0.111678832,"he",0.038686131,"you",0.031386861
"other","the",0.03243948,"people",0.031617647,"hand",0.024264706
"back","to",0.254074074,"in",0.039259259,"with",0.031851852
"way","to",0.226119403,"of",0.054477612,"you",0.032089552
"really","want",0.033333333,"good",0.033333333,"think",0.017829457
"see","you",0.110852713,"the",0.103100775,"it",0.041085271
"go","to",0.151968504,"back",0.041732283,"with",0.025984252
"make","the",0.120472441,"a",0.088976378,"it",0.073228346
"over","the",0.238582677,"and",0.057480315,"again",0.041732283
"because","of",0.120472441,"i",0.104724409,"it",0.104724409
"going","to",0.553543307,"on",0.112598425,"back",0.041732283
"too","much",0.081746032,"long",0.026190476,"but",0.026190476
"well","as",0.0984,"i",0.0584,"the",0.0424
"year","in",0.0584,"and",0.0584,"i",0.0504
"two","the",0.03049616,"years",0.0275,"of",0.0275
"don't","know",0.111764706,"want",0.078151261,"forget",0.044537815
"first","time",0.105128205,"the",0.03066401,"thing",0.028205128
"him","to",0.088793103,"a",0.045689655,"and",0.045689655
"want","to",0.585217391,"a",0.046086957,"it",0.028695652
"much","as",0.089565217,"fun",0.063478261,"more",0.046086957
"right","now",0.197345133,"in",0.038053097,"and",0.020353982
"us","i",0.038392857,"and",0.038392857,"we",0.029464286
"could","be",0.146846847,"have",0.083783784,"not",0.056756757
"need","to",0.408108108,"a",0.11981982,"it",0.056756757
"did","not",0.220909091,"you",0.102727273,"a",0.03
"off","the",0.186238532,"to",0.094495413,"and",0.039449541
"say","that",0.094495413,"i",0.057798165,"it",0.048623853
"after","the",0.122018349,"a",0.094495413,"that",0.030275229
"even","if",0.113888889,"more",0.086111111,"as",0.039814815
"down","to",0.097169811,"the",0.087735849,"a",0.05
"great","job",0.040566038,"time",0.031132075,"show",0.021698113
"made","the",0.106603774,"a",0.087735849,"it",0.087735849
"years","ago",0.088571429,"of",0.079047619,"at",0.040952381
"got","a",0.156730769,"to",0.089423077,"me",0.050961538
"rt","if",0.051960784,"oh",0.042156863,"the",0.03131428
"still","a",0.061764706,"have",0.042156863,"very",0.02254902
"today","i",0.113,"is",0.053,"the",0.043
"where","i",0.093939394,"the",0.083838384,"they",0.073737374
"work","on",0.063636364,"is",0.053535354,"with",0.033333333
"being","a",0.115306122,"able",0.033673469,"in",0.023469388
"many","of",0.074489796,"people",0.064285714,"years",0.033673469
"am","not",0.08556701,"i",0.054639175,"so",0.034020619
"life","is",0.08556701,"and",0.054639175,"skills",0.02371134
"any","of",0.077659574,"other",0.045744681,"the",0.02729181
"here","in",0.067021277,"is",0.045744681,"i",0.035106383
"very","good",0.067741935,"much",0.056989247,"well",0.035483871
"thanks","for",0.383695652,"to",0.188043478,"so",0.035869565
"take","the",0.125555556,"a",0.103333333,"it",0.058888889
"best","friend",0.059550562,"i",0.037078652,"to",0.037078652
"those","who",0.128409091,"the",0.02961982,"that",0.026136364
"never","seen",0.060227273,"been",0.048863636,"be",0.0375
"most","of",0.143023256,"important",0.05,"common",0.038372093
"before","the",0.109411765,"you",0.074117647,"it",0.050588235
"while","the",0.086904762,"he",0.039285714,"it",0.039285714
"around","the",0.23253012,"and",0.087951807,"a",0.039759036
"u","the",0.03202821,"r",0.027710843,"need",0.027710843
"come","to",0.136144578,"on",0.075903614,"back",0.063855422
"things","to",0.075903614,"i",0.051807229,"that",0.051807229
"through","the",0.296341463,"a",0.076829268,"it",0.02804878
"school","district",0.05375,"i",0.04125,"and",0.04125
"next","to",0.117721519,"week",0.105063291,"year",0.092405063
"lol","i",0.130379747,"the",0.03175779,"but",0.029113924
"happy","birthday",0.068831169,"to",0.068831169,"with",0.055844156
"night","i",0.055844156,"at",0.055844156,"the",0.042857143
"these","people",0.096052632,"days",0.030263158,"issues",0.030263158
"every","time",0.137333333,"day",0.084,"single",0.057333333
"home","and",0.084,"to",0.057333333,"in",0.030666667
"same","time",0.05890411,"thing",0.045205479,"name",0.031506849
"game","in",0.05890411,"against",0.05890411,"of",0.045205479
"look","at",0.250684932,"like",0.1,"forward",0.045205479
"week","and",0.08630137,"of",0.07260274,"the",0.05890411
"little","bit",0.154794521,"more",0.05890411,"the",0.0276434
"should","be",0.265217391,"have",0.105797101,"not",0.033333333
"show","that",0.062318841,"the",0.047826087,"and",0.047826087
"may","be",0.107352941,"have",0.077941176,"want",0.033823529
"feel","like",0.18358209,"so",0.064179104,"the",0.034328358
"that's","not",0.095454545,"what",0.065151515,"the",0.065151515
"says","we",0.035384615,"that",0.035384615,"the",0.035384615
"another","day",0.035384615,"to",0.02053966,"person",0.02
"why","is",0.081538462,"the",0.066153846,"not",0.050769231
"thing","in",0.0671875,"they",0.0515625,"we",0.0515625
"since","the",0.1296875,"i",0.0828125,"my",0.0359375
"city","and",0.0515625,"the",0.033502,"can",0.0203125
"always","that",0.0359375,"looking",0.0203125,"find",0.0203125
"sure","to",0.1,"you",0.084126984,"that",0.052380952
"world","the",0.052380952,"of",0.052380952,"is",0.036507937
"man","who",0.069354839,"i",0.053225806,"to",0.037096774
"find","it",0.133870968,"a",0.117741935,"out",0.069354839
"state","of",0.085483871,"that",0.020967742,"to",0.020967742
"does","not",0.201639344,"it",0.086885246,"anyone",0.054098361
"help","me",0.103278689,"that",0.054098361,"the",0.054098361
"few","years",0.103278689,"days",0.086885246,"weeks",0.086885246
"you're","not",0.088333333,"just",0.055,"so",0.055
"im","really",0.071666667,"on",0.038333333,"a",0.038333333
"three","years",0.088333333,"months",0.038333333,"children",0.038333333
"something","about",0.089830508,"that",0.072881356,"in",0.055932203
"hope","you",0.315517241,"to",0.056896552,"my",0.039655172
"can't","wait",0.263793103,"believe",0.039655172,"be",0.039655172
"follow","me",0.194827586,"the",0.09137931,"back",0.09137931
"own","the",0.03519746,"to",0.02049078,"and",0.01761323
"used","to",0.285964912,"the",0.075438596,"for",0.040350877
"everyone","who",0.094642857,"has",0.058928571,"for",0.023214286
"free","and",0.041071429,"to",0.041071429,"the",0.03090233
"tonight","at",0.078181818,"is",0.041818182,"the",0.023636364
"lot","of",0.532727273,"more",0.023636364,"going",0.023636364
"days","the",0.07962963,"of",0.061111111,"in",0.042592593
"again","in",0.042592593,"i",0.042592593,"that",0.042592593
"keep","the",0.098148148,"up",0.07962963,"it",0.07962963
"doing","the",0.098148148,"so",0.061111111,"a",0.061111111
"looking","forward",0.288679245,"for",0.269811321,"at",0.1
"job","as",0.062264151,"the",0.062264151,"and",0.062264151
"part","of",0.525,"in",0.063461538,"to",0.044230769
"long","as",0.140384615,"enough",0.044230769,"past",0.025
"during","the",0.332692308,"a",0.063461538,"my",0.063461538
"use","the",0.103921569,"of",0.084313725,"it",0.084313725
"getting","a",0.064705882,"into",0.064705882,"ready",0.045098039
"high","school",0.319607843,"schools",0.045098039,"and",0.025490196
"friends","and",0.143137255,"in",0.084313725,"with",0.045098039
"better","than",0.103921569,"the",0.045098039,"place",0.045098039
"season","and",0.066,"for",0.046,"i",0.046
"big","ten",0.046,"and",0.046,"the",0.03137471
"call","it",0.086,"us",0.046,"a",0.046
"having","a",0.286,"to",0.086,"the",0.046
"family","and",0.067346939,"room",0.026530612,"in",0.026530612
"bad","for",0.087755102,"as",0.046938776,"decisions",0.046938776
"business","for",0.067346939,"in",0.046938776,"when",0.026530612
"money","on",0.06875,"to",0.06875,"the",0.027083333
"place","in",0.152083333,"where",0.047916667,"to",0.047916667
"each","other",0.176595745,"of",0.091489362,"time",0.027659574
"oh","my",0.112765957,"no",0.091489362,"i",0.04893617
"give","me",0.112765957,"you",0.091489362,"a",0.070212766
"point","to",0.070212766,"that",0.04893617,"i",0.027659574
"play","with",0.093478261,"the",0.07173913,"in",0.05
"story","of",0.07173913,"and",0.05,"about",0.05
"god","is",0.115217391,"and",0.093478261,"bless",0.07173913
"such","a",0.354347826,"as",0.267391304,"the",0.01360249
"put","on",0.136956522,"the",0.07173913,"up",0.02826087
"tell","you",0.289130435,"him",0.093478261,"me",0.093478261
"thank","you",0.854347826,"everyone",0.006521739,"him",0.006521739
"house","the",0.0367833,"to",0.028888889,"but",0.028888889
"enough","to",0.162222222,"for",0.073333333,"i",0.073333333
"live","in",0.184444444,"and",0.073333333,"here",0.051111111
"working","on",0.273333333,"with",0.117777778,"at",0.051111111
"both","sides",0.051111111,"a",0.051111111,"of",0.051111111
"million","in",0.075,"on",0.052272727,"the",0.03107615
"once","again",0.165909091,"you",0.075,"the",0.052272727
"went","to",0.279545455,"out",0.097727273,"on",0.075
"saw","it",0.075,"a",0.029545455,"her",0.029545455
"found","the",0.123255814,"that",0.123255814,"in",0.123255814
"didn't","have",0.1,"notice",0.053488372,"know",0.053488372
"told","me",0.169767442,"the",0.1,"you",0.053488372
"talk","about",0.262790698,"to",0.169767442,"of",0.053488372
"pretty","sure",0.076744186,"much",0.076744186,"good",0.076744186
"though","i",0.1,"the",0.076744186,"a",0.030232558
"someone","who",0.126190476,"to",0.078571429,"else",0.054761905
